"url","Name","Name_link","State","Date_established","Area"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Sequoia","https://en.wikipedia.org/wiki/Sequoia_National_Park","California","September 25, 1890","404,062.63 acres (1,635.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Shenandoah","https://en.wikipedia.org/wiki/Shenandoah_National_Park","Virginia","December 26, 1935","199,223.77 acres (806.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Theodore Roosevelt","https://en.wikipedia.org/wiki/Theodore_Roosevelt_National_Park","North Dakota","November 10, 1978","70,446.89 acres (285.1 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Virgin Islands","https://en.wikipedia.org/wiki/Virgin_Islands_National_Park","United States Virgin Islands","August 2, 1956","14,944.53 acres (60.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Voyageurs","https://en.wikipedia.org/wiki/Voyageurs_National_Park","Minnesota","January 8, 1971","218,200.15 acres (883.0 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Wind Cave","https://en.wikipedia.org/wiki/Wind_Cave_National_Park","South Dakota","January 9, 1903","33,970.84 acres (137.5 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Wrangell–St. Elias","https://en.wikipedia.org/wiki/Wrangell%E2%80%93St._Elias_National_Park_and_Preserve","Alaska","December 2, 1980","8,323,146.48 acres (33,682.6 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Yellowstone","https://en.wikipedia.org/wiki/Yellowstone_National_Park","Wyoming","March 1, 1872","2,219,790.71 acres (8,983.2 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Yosemite","https://en.wikipedia.org/wiki/Yosemite_National_Park","California","October 1, 1890","761,747.50 acres (3,082.7 km"
"https://en.wikipedia.org/wiki/List_of_national_parks_of_the_United_States","Zion","https://en.wikipedia.org/wiki/Zion_National_Park","Utah","November 19, 1919","147,242.66 acres (595.9 km"
